137	129	151
136	124	158
136	124	158
137	124	162
135	121	160
133	121	157
131	119	155
129	116	153
129	116	153
128	115	151
129	116	153
128	115	151
128	115	151
128	116	150
129	117	151
125	116	150
124	115	149
124	115	149
124	115	149
124	115	149
135	128	154
137	125	159
137	125	159
135	125	161
134	124	160
133	121	157
131	119	155
131	119	155
132	120	156
132	120	156
131	119	155
130	118	154
130	118	154
129	117	151
130	118	152
127	118	151
125	116	150
128	116	150
128	116	150
128	116	150
136	129	156
138	127	160
138	127	160
135	125	161
134	124	160
133	121	157
132	120	156
133	121	157
135	122	158
135	122	158
133	121	157
133	121	157
132	120	156
132	121	155
132	121	155
129	120	153
128	119	152
130	118	152
130	118	152
129	117	151
138	128	157
138	127	160
138	127	160
138	126	162
137	125	161
135	122	158
133	121	157
131	121	157
132	123	158
130	125	160
130	125	160
128	123	158
127	122	157
127	121	159
127	121	159
131	121	159
131	121	159
131	119	155
130	118	154
130	118	152
138	128	157
138	127	160
138	127	160
138	126	162
137	125	161
136	123	160
136	123	160
134	124	160
134	124	160
130	125	160
130	125	160
128	123	158
128	123	158
128	123	160
128	123	160
132	122	160
131	121	159
132	120	156
132	120	156
130	118	152
136	129	157
138	127	159
138	127	159
138	126	162
137	125	161
133	125	161
132	124	160
132	124	160
132	124	160
132	124	160
132	124	160
132	124	160
132	124	160
130	122	160
130	122	160
130	123	158
130	123	158
135	124	155
135	124	155
132	122	153
136	129	157
138	127	159
138	127	159
138	126	162
137	125	161
133	125	161
132	124	160
132	124	160
132	124	160
132	124	160
132	124	160
132	124	160
130	123	158
130	122	160
132	123	161
130	123	158
130	123	158
135	124	155
136	125	156
133	123	154
136	127	160
138	126	162
138	126	162
138	125	164
137	124	162
135	124	162
134	123	161
134	123	161
135	124	162
137	124	162
137	124	162
136	123	161
136	123	161
136	123	161
136	123	161
136	123	160
136	123	160
136	124	158
135	123	157
135	123	157
136	127	160
138	126	162
138	126	162
138	125	164
138	125	164
135	124	162
135	124	162
135	124	162
135	124	162
137	124	162
137	124	162
136	123	161
135	121	160
133	120	159
135	121	160
135	122	158
133	121	157
133	122	156
133	122	156
133	122	156
134	128	159
136	126	162
136	126	162
134	127	162
134	127	162
133	125	162
133	125	162
137	125	161
137	125	161
136	123	160
136	123	160
131	121	157
130	120	156
130	122	153
131	123	154
130	122	153
130	122	153
132	122	153
132	122	153
131	123	154
134	128	159
136	126	162
136	126	162
134	127	162
134	127	162
133	125	162
133	125	162
136	123	160
135	122	158
133	121	157
132	120	156
129	119	155
129	119	155
130	122	153
130	122	153
130	122	153
129	121	152
131	120	152
131	120	152
129	121	152
137	125	159
136	125	164
136	125	164
133	125	162
133	125	162
130	124	157
130	124	157
128	122	155
127	120	153
129	120	153
129	120	153
127	120	153
127	120	153
128	122	155
128	122	155
128	122	155
127	120	153
131	120	153
131	120	153
129	122	150
137	125	159
135	124	162
134	123	161
130	122	160
129	121	159
128	122	155
128	122	155
126	119	152
126	119	152
128	119	152
128	119	152
127	120	153
128	122	155
127	120	153
128	122	155
127	120	153
127	120	153
131	120	153
131	120	153
129	122	150
135	124	155
133	122	156
133	122	156
129	124	152
127	122	150
129	122	150
129	122	150
131	121	150
131	121	150
131	120	153
131	120	153
131	119	155
131	119	155
128	122	155
128	122	155
127	120	153
127	120	153
131	120	152
130	119	151
128	120	149
132	122	153
131	120	153
131	120	153
127	122	150
128	123	151
129	122	150
129	122	150
133	124	152
135	125	154
135	123	157
133	122	156
131	119	155
131	119	155
127	120	153
127	120	153
127	120	153
127	120	153
131	120	152
131	120	152
129	122	150
132	122	151
127	122	150
126	121	149
131	120	153
132	121	155
132	121	155
132	121	155
136	125	156
138	127	159
138	125	164
137	124	162
136	122	163
135	121	162
128	121	156
127	120	155
127	120	155
127	120	155
127	121	152
127	121	152
130	119	151
133	124	152
129	124	152
128	123	151
132	121	155
132	121	155
132	121	155
132	121	155
136	125	156
138	127	159
138	125	164
138	125	164
138	124	165
138	124	165
133	125	161
129	122	157
127	120	155
126	118	154
126	120	151
126	120	151
130	119	151
130	126	152
130	124	157
130	124	157
133	122	156
133	122	156
132	121	155
132	121	155
135	124	155
136	125	156
131	126	161
132	127	162
130	126	165
130	126	165
130	126	165
129	125	164
128	123	160
126	120	158
131	120	152
131	120	152
130	118	152
130	126	152
130	124	157
130	124	157
135	123	157
133	122	156
132	121	155
132	121	155
135	124	155
136	125	156
131	126	161
132	127	162
130	126	165
132	128	167
133	129	169
132	128	167
132	126	164
131	125	162
133	123	154
132	122	153
131	120	153
135	125	154
130	125	155
130	125	155
130	125	155
129	123	154
132	122	153
132	122	153
135	124	155
136	125	156
136	127	160
136	127	160
132	124	167
134	127	169
133	128	172
133	128	172
135	124	169
134	123	168
135	125	161
132	123	158
129	123	154
140	136	141
132	124	148
130	122	146
130	120	149
130	120	149
130	118	152
130	118	152
130	118	152
130	118	152
129	117	151
128	116	150
125	115	153
124	114	152
124	114	152
124	114	152
125	115	153
127	116	154
130	118	152
130	118	152
130	118	152
133	130	151
135	125	154
131	121	150
130	119	151
129	118	149
123	118	148
125	119	149
125	119	149
125	119	149
129	118	149
129	118	149
129	116	153
128	115	151
122	114	152
122	114	152
123	115	153
123	115	153
125	119	149
126	120	151
124	120	151
133	130	151
135	125	154
133	124	152
131	120	152
130	119	151
123	118	148
123	118	148
123	118	148
123	118	148
128	117	148
128	117	148
128	115	151
128	115	151
123	115	153
123	115	153
122	114	152
122	114	152
123	118	148
123	118	148
121	118	148
136	128	150
133	122	156
133	122	156
135	121	160
133	120	159
130	118	154
129	116	153
128	115	151
128	115	151
128	115	151
128	115	151
128	115	151
128	115	151
128	116	150
128	116	150
124	115	149
124	115	149
125	116	150
125	116	150
125	116	150
137	129	151
136	124	158
136	124	158
137	124	162
135	121	160
133	121	157
131	119	155
129	116	153
129	116	153
128	115	151
129	116	153
128	115	151
128	115	151
128	116	150
129	117	151
125	116	150
124	115	149
124	115	149
124	115	149
124	115	149
135	128	154
137	125	159
137	125	159
135	125	161
134	124	160
133	121	157
131	119	155
131	119	155
132	120	156
132	120	156
131	119	155
130	118	154
130	118	154
129	117	151
130	118	152
127	118	151
125	116	150
128	116	150
128	116	150
128	116	150
136	129	156
138	127	160
138	127	160
135	125	161
134	124	160
133	121	157
132	120	156
133	121	157
135	122	158
135	122	158
133	121	157
133	121	157
132	120	156
132	121	155
132	121	155
129	120	153
128	119	152
130	118	152
130	118	152
129	117	151
138	128	157
138	127	160
138	127	160
